Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E28,0.54,PSL,3.246846499185267,4.087914525351692,0.0
Additional Days,E28,0.54,Roll Sleeve,0.01348954627152199,0.007721405772710965,0.27695092592592613
Additional Days,E28,0.54,Shrink Sleeve,0.518680518575863,0.5384342671421649,0.0
Additional Days,E28,0.55,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.55,PSL,4.93435329297354,4.912070449512726,0.0
Additional Days,E28,0.55,Roll Sleeve,0.016753268557103462,0.009611005038450193,0.3461886574074076
Additional Days,E28,0.55,Shrink Sleeve,0.5275620982510318,0.5529486170657094,0.0
Additional Days,E28,0.56,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.56,PSL,7.187668799235269,5.255789078672194,0.0
Additional Days,E28,0.56,Roll Sleeve,0.019975195019327485,0.011484714655505046,0.41542638888888916
Additional Days,E28,0.56,Shrink Sleeve,0.5364392773390634,0.5674530198921133,0.0
Additional Days,E28,0.57,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.57,PSL,9.661844955299117,5.335681323483129,0.0
Additional Days,E28,0.57,Roll Sleeve,0.023156123417483243,0.013342734208910134,0.48466412037036993
Additional Days,E28,0.57,Shrink Sleeve,0.5453120591097118,0.5819474858434006,0.0
Additional Days,E28,0.58,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.58,PSL,10.665037085848738,5.561561892915904,0.0
Additional Days,E28,0.58,Roll Sleeve,0.02629683133671251,0.015185259955067754,0.5539018518518515
Additional Days,E28,0.58,Shrink Sleeve,0.6478781179042485,0.6047914475592933,0.0
Additional Days,E28,0.59,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.59,PSL,11.400114467228946,5.796885683127556,0.0005337962962962849
Additional Days,E28,0.59,Roll Sleeve,0.0293980768217193,0.01701248489085222,0.623139583333333
Additional Days,E28,0.59,Shrink Sleeve,0.7653382641531081,0.6290021610864898,0.0
Additional Days,E28,0.6,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.6,PSL,11.823809151181436,5.847556531602692,0.008006944444444464
Additional Days,E28,0.6,Roll Sleeve,0.032460598986744305,0.018824598821000293,0.6923773148148146
Additional Days,E28,0.6,Shrink Sleeve,0.8820282855894845,0.653185160710386,0.0
